Loan_ID,Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,LoanAmountToIncome,EMI,EMIToIncome,Log_LoanAmount,Log_TotalIncome,Has_Coapplicant,Area_Semiurban,Area_Urban,Gender_Male,Married_Yes,SelfEmployed_Yes
LP001002,0.0,1,5849.0,0.0,128.0,360.0,1.0,1,5849.0,0.02188034188034188,0.35555555555555557,6.077872744539412e-05,4.859812404361672,8.674196940225903,0,False,True,True,False,False
LP001003,1.0,1,4583.0,1508.0,128.0,360.0,1.0,0,6091.0,0.021011162179908074,0.35555555555555557,5.836433938863355e-05,4.859812404361672,8.714731714015052,1,False,False,True,True,False
LP001005,0.0,1,3000.0,0.0,66.0,360.0,1.0,1,3000.0,0.021992669110296566,0.18333333333333332,6.109074752860157e-05,4.204692619390966,8.006700845440367,0,False,True,True,True,True
LP001006,0.0,0,2583.0,2358.0,120.0,360.0,1.0,1,4941.0,0.024281667341157425,0.3333333333333333,6.744907594765951e-05,4.795790545596741,8.505525386548555,1,False,True,True,True,False
LP001008,0.0,1,6000.0,0.0,141.0,360.0,1.0,1,6000.0,0.023496083986002333,0.39166666666666666,6.526689996111759e-05,4.955827057601261,8.699681400989514,0,False,True,True,False,False
LP001011,2.0,1,5417.0,4196.0,267.0,360.0,1.0,1,9613.0,0.027771999167880174,0.7416666666666667,7.714444213300049e-05,5.5909869805108565,9.170975648453906,1,False,True,True,True,True
LP001013,0.0,0,2333.0,1516.0,95.0,360.0,1.0,1,3849.0,0.024675324675324677,0.2638888888888889,6.854256854256854e-05,4.564348191467836,8.25582842728183,1,False,True,True,True,False
LP001014,3.0,1,3036.0,2504.0,158.0,360.0,0.0,0,5540.0,0.02851470853636528,0.4388888888888889,7.920752371212577e-05,5.0689042022202315,8.61993026886735,1,True,False,True,True,False
LP001018,2.0,1,4006.0,1526.0,168.0,360.0,1.0,1,5532.0,0.030363274896078075,0.4666666666666667,8.434243026688355e-05,5.1298987149230735,8.618485442898109,1,False,True,True,True,False
LP001020,1.0,1,12841.0,8895.890000000003,293.4000000000001,360.0,1.0,0,21736.890000000003,0.013497170148528677,0.8150000000000003,3.7492139301468546e-05,5.6849393868547216,9.986812099847196,1,True,False,True,True,False
LP001024,2.0,1,3200.0,700.0,70.0,360.0,1.0,1,3900.0,0.017944116893104333,0.19444444444444445,4.984476914751204e-05,4.2626798770413155,8.268988209506656,1,False,True,True,True,False
LP001027,2.0,1,2500.0,1840.0,109.0,360.0,1.0,1,4340.0,0.025109421792213777,0.30277777777777776,6.974839386726049e-05,4.700480365792417,8.375860015299594,1,False,True,True,True,False
LP001028,2.0,1,3073.0,8106.0,200.0,360.0,1.0,1,11179.0,0.017889087656529516,0.5555555555555556,4.9691910157026436e-05,5.303304908059076,9.32188174670909,1,False,True,True,True,False
LP001029,0.0,1,1853.0,2840.0,114.0,360.0,1.0,0,4693.0,0.024286322965487855,0.31666666666666665,6.746200823746626e-05,4.74493212836325,8.454040376410969,1,False,False,True,False,False
LP001030,2.0,1,1299.0,1086.0,17.0,120.0,1.0,1,2385.0,0.007124895222129086,0.14166666666666666,5.9374126851075716e-05,2.8903717578961645,7.777373602657861,1,False,True,True,True,False
LP001032,0.0,1,4950.0,0.0,125.0,360.0,1.0,1,4950.0,0.025247424762674206,0.3472222222222222,7.013173545187279e-05,4.836281906951478,8.507344855361422,0,False,True,True,False,False
LP001034,1.0,0,3596.0,0.0,100.0,240.0,1.0,1,3596.0,0.027800945232137893,0.4166666666666667,0.00011583727180057456,4.61512051684126,8.187855443695623,0,False,True,True,False,False
LP001036,0.0,1,3510.0,0.0,76.0,360.0,0.0,0,3510.0,0.02164625462831102,0.2111111111111111,6.012848507864173e-05,4.343805421853684,8.163656176168432,0,False,True,False,False,False
LP001038,0.0,0,4887.0,0.0,133.0,360.0,1.0,0,4887.0,0.02720949263502455,0.36944444444444446,7.558192398617931e-05,4.897839799950911,8.494538500851432,0,False,False,True,True,False
LP001041,0.0,1,2600.0,3500.0,115.0,360.0,1.0,1,6100.0,0.018849368955908868,0.3194444444444444,5.235935821085796e-05,4.7535901911063645,8.716207971151853,1,False,True,True,True,False
LP001043,0.0,0,7660.0,0.0,104.0,360.0,0.0,0,7660.0,0.013575251272679808,0.28888888888888886,3.770903131299946e-05,4.653960350157523,8.94389780251682,0,False,True,True,True,False
LP001046,1.0,1,5955.0,5625.0,293.4000000000001,360.0,1.0,1,11580.0,0.025334599775494352,0.8150000000000003,7.03738882652621e-05,5.6849393868547216,9.357121103184378,1,False,True,True,True,False
LP001047,0.0,0,2600.0,1911.0,116.0,360.0,0.0,0,4511.0,0.025709219858156027,0.32222222222222224,7.141449960598898e-05,4.762173934797756,8.414495793177895,1,True,False,True,True,False
LP001050,2.0,0,3365.0,1917.0,112.0,360.0,0.0,0,5282.0,0.021200075714556125,0.3111111111111111,5.8889099207100344e-05,4.727387818712341,8.572249397164315,1,False,False,True,True,False
LP001052,1.0,1,3717.0,2925.0,151.0,360.0,1.0,0,6642.0,0.022730693963570674,0.41944444444444445,6.31408165654741e-05,5.0238805208462765,8.80131894766524,1,True,False,True,True,False
LP001066,0.0,1,9560.0,0.0,191.0,360.0,1.0,1,9560.0,0.019976989854617717,0.5305555555555556,5.5491638485049216e-05,5.2574953720277815,9.165447603085447,0,True,False,True,True,True
LP001068,0.0,1,2799.0,2253.0,122.0,360.0,1.0,1,5052.0,0.02414407282802296,0.3388888888888889,6.706686896673044e-05,4.812184355372417,8.527737405291909,1,True,False,True,True,False
LP001073,2.0,0,4226.0,1040.0,110.0,360.0,1.0,1,5266.0,0.020884754129485476,0.3055555555555556,5.801320591523744e-05,4.709530201312334,8.569216219483389,1,False,True,True,True,False
LP001086,0.0,0,1442.0,0.0,35.0,360.0,1.0,0,1442.0,0.024255024255024255,0.09722222222222222,6.737506737506738e-05,3.58351893845611,7.274479558773871,0,False,True,True,False,False
LP001087,2.0,1,3750.0,2083.0,120.0,360.0,1.0,1,5833.0,0.02056907781967775,0.3333333333333333,5.713632727688264e-05,4.795790545596741,8.671458150427666,1,True,False,False,False,False
LP001091,1.0,1,4166.0,3369.0,201.0,360.0,1.0,0,7535.0,0.026671974522292995,0.5583333333333333,7.408881811748054e-05,5.308267697401205,8.927446816256198,1,False,True,True,True,False
LP001095,0.0,1,3167.0,0.0,74.0,360.0,1.0,0,3167.0,0.02335858585858586,0.20555555555555555,6.488496071829405e-05,4.31748811353631,8.060855752934316,0,False,True,True,False,False
LP001097,1.0,1,4692.0,0.0,106.0,360.0,1.0,0,4692.0,0.02258683145109738,0.29444444444444445,6.27411984752705e-05,4.672828834461906,8.453827315794417,0,False,False,True,False,True
LP001098,0.0,1,3500.0,1667.0,114.0,360.0,1.0,1,5167.0,0.022058823529411766,0.31666666666666665,6.127450980392157e-05,4.74493212836325,8.550241045462437,1,True,False,True,True,False
LP001100,3.0,1,12500.0,3000.0,293.4000000000001,360.0,1.0,0,15500.0,0.018927811108960718,0.8150000000000003,5.257725308044644e-05,5.6849393868547216,9.648659816955295,1,False,False,True,False,False
